DATE,MSPUS
2017-01-01,313100
2017-04-01,318200
2017-07-01,320500.0
2017-10-01,337900.0
2018-01-01,331800.0
2018-04-01,315600.0
2018-07-01,330900.0
2018-10-01,322800.0
2019-01-01,313000.0
2019-04-01,322500.0
2019-07-01,318400.0
2019-10-01,327100.0
2020-01-01,329000.0
2020-04-01,317100.0
2020-07-01,327900.0
2020-10-01,338600.0
2021-01-01,355000.0
2021-04-01,367800.0
2021-07-01,395200.0
2021-10-01,414000.0
2022-01-01,413500.0
2022-04-01,437700.0
2022-07-01,438000.0
2022-10-01,442600.0
2023-01-01,429000.0
2023-04-01,418500.0
2023-07-01,435400.0
2023-10-01,423200.0
2024-01-01,426800.0
2024-04-01,414500.0
2024-07-01,420400.0
