DATE,C307RX1Q020SBEA
2007-01-01,42.234
2007-04-01,44.593
2007-07-01,52.321
2007-10-01,56.264
2008-01-01,56.78
2008-04-01,61.218
2008-07-01,62.731
2008-10-01,64.123
2009-01-01,70.137
2009-04-01,68.608
2009-07-01,63.04
2009-10-01,55.499
2010-01-01,52.922
2010-04-01,50.637
2010-07-01,44.586
2010-10-01,39.139
2011-01-01,38.018
2011-04-01,43.299
2011-07-01,48.374
2011-10-01,50.531
2012-01-01,49.434
2012-04-01,51.702
2012-07-01,52.625
2012-10-01,53.914
2013-01-01,53.713
2013-04-01,51.821
2013-07-01,56.272
2013-10-01,56.081
2014-01-01,55.32
2014-04-01,57.12
2014-07-01,61.351
2014-10-01,73.937
2015-01-01,80.442
2015-04-01,86.315
2015-07-01,85.16
2015-10-01,83.329
2016-01-01,79.661
2016-04-01,82.11
2016-07-01,81.809
2016-10-01,77.704
2017-01-01,71.793
2017-04-01,71.561
2017-07-01,67.922
2017-10-01,68.603
2018-01-01,67.974
2018-04-01,68.125
2018-07-01,69.782
2018-10-01,69.298
2019-01-01,73.089
2019-04-01,73.509
2019-07-01,72.962
2019-10-01,71.059
2020-01-01,69.419
2020-04-01,64.797
2020-07-01,64.673
2020-10-01,64.181
2021-01-01,66.79
2021-04-01,66.688
2021-07-01,68.332
2021-10-01,69.823
2022-01-01,74.985
2022-04-01,80.894
2022-07-01,86.647
2022-10-01,94.816
2023-01-01,106.802
2023-04-01,123.331
2023-07-01,126.196
2023-10-01,132.773
2024-01-01,142.046
2024-04-01,149.205
2024-07-01,150.017
